TO_DATE(_CREATED),_ID,EVENT_ID,DESTINATION_REPOSITORY,USER,DEPLOY,ERROR,ERROR_CODE
2023-10-17,8890563659435198,CreateFromTemplateError,https://github.com/khoukh/streamlit-hello,9ea9b4c2-d1c5-48a4-af0c-b254134a8ca9,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
2023-10-17,8890748856451131,CreateFromTemplateError,https://github.com/khoukh/hello,9ea9b4c2-d1c5-48a4-af0c-b254134a8ca9,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
2023-10-17,9436851141542427,CreateFromTemplateError,https://github.com/karanja-john/Sokosmart-foodprice,1ac940e3-9b74-4ade-9cfe-6199cba9b10e,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
2023-10-17,8890897025483350,CreateFromTemplateError,https://github.com/khoukh/streamlit-hello,9ea9b4c2-d1c5-48a4-af0c-b254134a8ca9,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
2023-10-17,8891092824117647,CreateFromTemplateError,https://github.com/joris-guldentops/rescius,6c09097e-4436-4c8e-b0a7-cc175a781415,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
2023-10-17,8891511263576777,CreateFromTemplateError,https://github.com/ahmedaboghaly2010/finallcrm-py,35605b74-7754-4394-8dc3-b3c81991f01a,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
2023-10-17,9436640884251248,CreateFromTemplateError,https://github.com/khoukh/streamlit-hello,9ea9b4c2-d1c5-48a4-af0c-b254134a8ca9,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
2023-10-17,8890939396379774,CreateFromTemplateError,https://github.com/khoukh/Data-Analysis-,9ea9b4c2-d1c5-48a4-af0c-b254134a8ca9,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
2023-10-17,8891249873034113,CreateFromTemplateError,https://github.com/ahmedaboghaly2010/CrmApp,35605b74-7754-4394-8dc3-b3c81991f01a,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
2023-10-17,9517581092088820,CreateFromTemplateError,https://github.com/ahmedaboghaly2010/finallcrm-py,35605b74-7754-4394-8dc3-b3c81991f01a,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
2023-10-17,8890973160741994,CreateFromTemplateError,https://github.com/khoukh/streamlit-hello,9ea9b4c2-d1c5-48a4-af0c-b254134a8ca9,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
2023-10-17,8890721495899863,CreateFromTemplateError,https://github.com/khoukh/streamlit-hello,9ea9b4c2-d1c5-48a4-af0c-b254134a8ca9,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
2023-10-17,9517591947300854,CreateFromTemplateError,https://github.com/karanja-john/SOKO-Smart,1ac940e3-9b74-4ade-9cfe-6199cba9b10e,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
2023-10-17,9517139264437645,CreateFromTemplateError,https://github.com/khoukh/streamlit-hello,9ea9b4c2-d1c5-48a4-af0c-b254134a8ca9,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
2023-10-17,9517755900498747,CreateFromTemplateError,https://github.com/joris-guldentops/resciusdata,6c09097e-4436-4c8e-b0a7-cc175a781415,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
2023-10-17,8891139465761403,CreateFromTemplateError,https://github.com/khoukh/hello,9ea9b4c2-d1c5-48a4-af0c-b254134a8ca9,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
2023-10-17,9517255443699352,CreateFromTemplateError,https://github.com/khoukh/streamlit-hello,9ea9b4c2-d1c5-48a4-af0c-b254134a8ca9,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
2023-10-17,8891250214883043,CreateFromTemplateError,https://github.com/khoukh/Data-Analysis-,9ea9b4c2-d1c5-48a4-af0c-b254134a8ca9,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
2023-10-17,8891491973444849,CreateFromTemplateError,https://github.com/ahmedaboghaly2010/finallcrm-py,35605b74-7754-4394-8dc3-b3c81991f01a,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
2023-10-17,8891422380453068,CreateFromTemplateError,https://github.com/ahmedaboghaly2010/CrmApp,35605b74-7754-4394-8dc3-b3c81991f01a,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
2023-10-17,8890987218597671,CreateFromTemplateError,https://github.com/khoukh/streamlit-hello,9ea9b4c2-d1c5-48a4-af0c-b254134a8ca9,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
2023-10-17,8890543555973013,CreateFromTemplateError,https://github.com/khoukh/hello,9ea9b4c2-d1c5-48a4-af0c-b254134a8ca9,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
2023-10-17,8891676014590932,CreateFromTemplateError,https://github.com/karanja-john/Sokosmart-foodprice,1ac940e3-9b74-4ade-9cfe-6199cba9b10e,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
2023-10-17,8891096827691805,CreateFromTemplateError,https://github.com/khoukh/streamlit-hello,9ea9b4c2-d1c5-48a4-af0c-b254134a8ca9,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
2023-10-17,8891871624474558,CreateFromForkError,https://github.com/dmetrandor/genl,019e6a92-7dc2-4831-be88-bc0be111ba55,TRUE,"Unable to find app.py at dmetrandor/genl branch ""test_secrets"".",2ST 
2023-10-17,9517151160432917,CreateFromTemplateError,https://github.com/khoukh/try,9ea9b4c2-d1c5-48a4-af0c-b254134a8ca9,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
2023-10-17,8891094741337966,CreateFromTemplateError,https://github.com/joris-guldentops/resciusdata,6c09097e-4436-4c8e-b0a7-cc175a781415,TRUE,Internal server error: Failed to create repository from template. Please retry and contact support if it happens again,500
